,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
198,-6.882,-46.855,317.7,1.1,1.0,2021-07-14,01:30,T,94,6.1NRT,292.7,15.8,N
199,-6.727,-44.706,320.2,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,291.5,17.5,N
200,-6.726,-44.697,317.5,1.0,1.0,2021-07-14,01:30,T,95,6.1NRT,292.0,15.0,N
201,-6.813,-44.725,308.6,1.0,1.0,2021-07-14,01:30,T,75,6.1NRT,292.4,7.7,N
202,-6.713,-44.028,327.5,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,293.9,26.6,N
203,-6.711,-44.018,310.5,1.0,1.0,2021-07-14,01:30,T,80,6.1NRT,291.4,9.6,N
204,-7.725,-49.762,302.9,1.6,1.3,2021-07-14,01:30,T,52,6.1NRT,292.5,9.6,N
205,-7.035,-44.414,308.6,1.0,1.0,2021-07-14,01:30,T,75,6.1NRT,292.8,7.3,N
206,-7.034,-44.405,324.1,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,293.7,20.8,N
207,-7.033,-44.396,312.3,1.0,1.0,2021-07-14,01:30,T,80,6.1NRT,293.5,9.3,N
208,-7.042,-44.394,311.8,1.0,1.0,2021-07-14,01:30,T,83,6.1NRT,293.2,9.2,N
209,-6.839,-42.796,305.8,1.2,1.1,2021-07-14,01:30,T,66,6.1NRT,294.0,6.4,N
210,-7.241,-44.696,303.8,1.0,1.0,2021-07-14,01:30,T,57,6.1NRT,292.0,4.7,N
211,-7.295,-44.881,312.1,1.0,1.0,2021-07-14,01:30,T,84,6.1NRT,292.8,10.6,N
212,-7.267,-44.683,302.6,1.0,1.0,2021-07-14,01:30,T,50,6.1NRT,291.7,4.5,N
213,-10.101,-48.438,317.6,1.4,1.2,2021-07-14,01:30,T,95,6.1NRT,292.0,25.6,N
214,-10.103,-48.451,306.3,1.4,1.2,2021-07-14,01:30,T,67,6.1NRT,291.3,11.6,N
215,-10.021,-49.033,307.9,1.6,1.2,2021-07-14,01:30,T,73,6.1NRT,290.4,16.4,N
216,-10.018,-49.025,304.6,1.6,1.2,2021-07-14,01:30,T,35,6.1NRT,290.2,11.3,N
217,-9.183,-47.897,311.1,1.3,1.1,2021-07-14,01:30,T,82,6.1NRT,292.9,15.1,N
218,-9.096,-48.011,306.7,1.3,1.1,2021-07-14,01:30,T,69,6.1NRT,292.7,10.6,N
219,-9.098,-48.022,303.1,1.3,1.1,2021-07-14,01:30,T,53,6.1NRT,291.9,7.4,N
220,-9.086,-48.012,307.6,1.3,1.1,2021-07-14,01:30,T,72,6.1NRT,291.7,11.2,N
221,-8.562,-45.844,313.0,1.0,1.0,2021-07-14,01:30,T,86,6.1NRT,293.2,12.0,N
222,-8.564,-45.854,327.2,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,292.7,26.4,N
223,-8.899,-49.904,309.6,1.7,1.3,2021-07-14,01:30,T,78,6.1NRT,293.3,19.4,N
224,-8.901,-49.92,310.3,1.8,1.3,2021-07-14,01:30,T,80,6.1NRT,292.9,20.8,N
225,-8.158,-45.454,310.7,1.0,1.0,2021-07-14,01:30,T,81,6.1NRT,292.9,10.1,N
226,-8.274,-46.477,313.9,1.1,1.0,2021-07-14,01:30,T,88,6.1NRT,292.0,14.8,N
227,-8.275,-46.486,318.6,1.1,1.0,2021-07-14,01:30,T,97,6.1NRT,292.2,19.2,N
228,-8.126,-46.013,301.9,1.0,1.0,2021-07-14,01:30,T,45,6.1NRT,291.0,5.3,N
229,-8.427,-49.701,304.0,1.7,1.3,2021-07-14,01:30,T,58,6.1NRT,293.8,9.6,N
230,-7.404,-43.344,304.4,1.1,1.0,2021-07-14,01:30,T,60,6.1NRT,293.8,4.7,N
231,-7.199,-42.112,303.8,1.3,1.1,2021-07-14,01:30,T,56,6.1NRT,293.6,4.8,N
232,-7.11,-42.068,304.4,1.3,1.1,2021-07-14,01:30,T,19,6.1NRT,292.0,6.6,N
233,-7.1,-42.063,305.7,1.3,1.1,2021-07-14,01:30,T,55,6.1NRT,292.3,7.3,N
234,-8.026,-49.703,306.8,1.6,1.3,2021-07-14,01:30,T,69,6.1NRT,294.4,13.4,N
235,-7.105,-43.124,307.4,1.1,1.1,2021-07-14,01:30,T,71,6.1NRT,292.7,7.9,N
